Time,estimated_positions
27.3597191,[716 526]
27.3969415,[716 526]
27.4438977,[716 526]
27.4850301,[716 526]
27.5271764,[716 526]
27.5718056,[716 526]
27.6089091,[716 526]
27.6554602,[716 526]
27.6925523,[716 526]
27.7339049,[716 526]
27.7747015,[716 526]
27.8118002,[716 526]
27.8541259,[716 526]
27.8945668,[716 526]
27.9375114,[716 526]
27.9785874,[716 526]
28.0250286,[716 526]
28.0649704,[716 526]
28.1238619,[716 526]
28.1682255,[716 526]
28.2092353,[716 526]
28.2479496,[716 526]
28.2860438,[716 526]
28.3249954,[716 526]
28.3687524,[716 526]
28.4076939,[716 526]
28.4453768,[716 526]
28.4860355,[716 526]
28.5261199,[716 526]
28.5690771,[716 526]
28.6098646,[716 526]
28.6522151,[716 526]
28.6971781,[716 526]
28.7391533,[716 526]
28.7765187,[716 526]
28.8157429,[716 526]
28.8608301,[716 526]
28.9038816,[716 526]
28.9423225,[716 526]
28.9786548,[716 526]
29.0259445,[715 526]
29.0682927,[716 526]
29.1106554,[716 526]
29.1517965,[716 526]
29.1929326,[716 526]
29.2374581,[716 526]
29.2802703,[716 526]
29.3252238,[716 526]
29.3682211,[716 526]
29.4096949,[716 526]
29.4510774,[715 526]
29.4908571,[715 526]
29.5360348,[716 526]
29.5731615,[716 526]
29.6121602,[716 526]
29.6555171,[716 526]
29.6984379,[716 526]
29.742335,[716 526]
29.7810955,[716 526]
29.8248375,[716 526]
29.8630536,[716 526]
29.9069906,[716 526]
29.9447334,[716 526]
29.9841824,[716 526]
30.0307504,[716 526]
