Time,pixels_from_encoder,pixels_from_cv2
12.9781332,[[[615 414]]],"(626, 403)"
13.0166352,[[[616 409]]],"(625, 402)"
13.0579957,[[[616 406]]],"(623, 400)"
13.0957838,[[[615 405]]],"(622, 398)"
13.1391188,[[[613 405]]],"(622, 398)"
13.1793765,[[[612 407]]],"(621, 396)"
13.2191996,[[[611 408]]],"(621, 395)"
13.2646578,[[[609 413]]],"(621, 394)"
13.3095869,[[[609 418]]],"(619, 393)"
13.345843,[[[605 425]]],"(618, 394)"
13.3902713,[[[600 433]]],"(618, 394)"
13.4289255,[[[596 441]]],"(618, 395)"
13.4686032,[[[592 448]]],"(618, 396)"
13.5228652,[[[584 456]]],"(617, 397)"
13.5623468,[[[578 463]]],"(616, 398)"
13.6043417,[[[572 469]]],"(615, 400)"
13.6512331,[[[568 475]]],"(615, 401)"
13.6940097,[[[560 480]]],"(615, 403)"
13.7425267,[[[552 486]]],"(612, 410)"
13.7851885,[[[544 492]]],"(612, 411)"
13.8274396,[[[536 497]]],"(612, 413)"
13.8647935,[[[527 501]]],"(612, 415)"
13.9109389,[[[517 507]]],"(1267, 345)"
13.9499676,[[[503 512]]],"(612, 418)"
13.9910057,[[[486 514]]],"(612, 418)"
14.0301916,[[[468 512]]],"(614, 419)"
14.0794107,[[[457 510]]],"(613, 419)"
14.1229045,[[[455 509]]],"(615, 418)"
14.1639179,[[[456 508]]],"(620, 415)"
14.2080656,[[[460 509]]],"(646, 633)"
14.2492608,[[[455 509]]],"(643, 628)"
14.2939075,[[[446 507]]],"(644, 627)"
14.3296327,[[[435 504]]],"(645, 625)"
14.3714415,[[[425 501]]],"(647, 620)"
14.4171536,[[[417 498]]],"(646, 613)"
14.4578553,[[[416 497]]],"(642, 604)"
14.4948844,[[[419 499]]],"(636, 594)"
14.5411378,[[[428 501]]],"(630, 578)"
14.579367,[[[440 505]]],"(625, 572)"
14.623623,[[[453 509]]],"(621, 568)"
14.6629951,[[[468 513]]],"(618, 564)"
14.7119692,[[[486 518]]],"(627, 540)"
14.7553846,[[[503 522]]],"(632, 539)"
14.8022085,[[[522 526]]],"(636, 540)"
14.8448728,[[[545 529]]],"(642, 540)"
14.8896358,[[[568 533]]],"(647, 540)"
14.9301561,[[[594 535]]],"(653, 540)"
14.9724346,[[[617 536]]],"(659, 540)"
15.0132406,[[[633 537]]],"(665, 539)"
15.0578634,[[[642 537]]],"(673, 539)"
15.1004133,[[[655 537]]],"(680, 538)"
15.1444081,[[[659 537]]],"(714, 534)"
15.1889374,[[[661 537]]],"(717, 535)"
15.2281626,[[[659 537]]],"(720, 525)"
15.267218,[[[655 537]]],"(724, 524)"
15.3111821,[[[649 537]]],"(727, 525)"
15.349289,[[[642 537]]],"(729, 524)"
15.3900513,[[[641 537]]],"(729, 524)"
15.4326177,[[[646 537]]],"(729, 525)"
15.4743734,[[[658 537]]],"(727, 525)"
15.5192848,[[[667 536]]],"(726, 525)"
15.5659741,[[[668 536]]],"(723, 532)"
15.6107418,[[[663 537]]],"(723, 535)"
15.647144,[[[658 537]]],"(728, 531)"
15.692777,[[[650 537]]],"(730, 533)"
15.7300914,[[[643 537]]],"(731, 525)"
15.7735335,[[[636 537]]],"(731, 524)"
15.8160152,[[[629 537]]],"(730, 524)"
15.8578449,[[[623 536]]],"(728, 525)"
15.894801,[[[619 536]]],"(725, 525)"
15.9399509,[[[616 536]]],"(723, 525)"
15.9793018,[[[614 536]]],"(721, 525)"
16.0206362,[[[614 536]]],"(718, 525)"
16.0637431,[[[615 536]]],"(716, 525)"
16.1121155,[[[618 536]]],"(710, 524)"
16.1506589,[[[612 535]]],"(710, 524)"
16.1943353,[[[600 534]]],"(710, 525)"
