Time,pixels_from_encoder,pixels_from_cv2
15.8515669,[[[1032  195]]],"(814, 383)"
15.8936565,[[[1026  199]]],"(813, 380)"
15.9361086,[[[1019  202]]],"(821, 380)"
15.9793767,[[[1010  207]]],"(824, 378)"
16.0256065,[[[1003  209]]],"(821, 375)"
16.0662901,[[[997 210]]],"(792, 376)"
16.1140391,[[[991 210]]],"(821, 365)"
16.161393,[[[985 211]]],"(820, 362)"
16.2106149,[[[976 214]]],"(789, 365)"
16.2561292,[[[971 218]]],"(819, 357)"
16.3002142,[[[962 223]]],"(816, 354)"
16.3471928,[[[957 226]]],"(806, 354)"
16.388792,[[[956 229]]],"(816, 350)"
16.4310599,[[[954 233]]],"(814, 347)"
16.47656,[[[952 239]]],"(813, 345)"
16.5200668,[[[950 245]]],"(810, 341)"
16.562289,[[[946 250]]],"(810, 341)"
16.6106154,[[[941 255]]],"(810, 343)"
16.6615838,[[[936 262]]],"(803, 346)"
16.714954,[[[930 271]]],"(809, 346)"
16.7693418,[[[919 280]]],"(807, 346)"
16.8211656,[[[907 289]]],"(803, 347)"
16.8655304,[[[898 297]]],"(801, 348)"
16.9116407,[[[888 305]]],"(799, 348)"
16.9544124,[[[877 311]]],"(796, 347)"
16.9976394,[[[869 316]]],"(793, 347)"
17.0450669,[[[864 321]]],"(789, 346)"
17.0879281,[[[861 326]]],"(786, 346)"
17.1307014,[[[854 331]]],"(782, 346)"
17.1758116,[[[847 333]]],"(779, 344)"
17.2183923,[[[844 338]]],"(768, 346)"
17.2618788,[[[839 341]]],"(766, 347)"
17.3099295,[[[834 344]]],"(762, 346)"
17.3519354,[[[834 347]]],"(759, 345)"
17.3942693,[[[834 348]]],"(758, 347)"
17.4350945,[[[837 349]]],"(756, 348)"
17.4778805,[[[839 349]]],"(753, 348)"
17.522327,[[[841 348]]],"(751, 348)"
17.5695914,[[[842 348]]],"(751, 350)"
17.6152962,[[[841 350]]],"(754, 356)"
17.6600326,[[[843 351]]],"(755, 356)"
17.7086117,[[[845 352]]],"(756, 357)"
17.7514176,[[[844 352]]],"(755, 357)"
17.7942289,[[[842 355]]],"(755, 358)"
17.8411674,[[[840 360]]],"(755, 360)"
17.8820641,[[[836 364]]],"(756, 362)"
17.9254334,[[[835 365]]],"(756, 362)"
17.9768882,[[[837 367]]],"(756, 363)"
18.0215061,[[[838 368]]],"(748, 370)"
18.0650165,[[[839 370]]],"(747, 372)"
18.1090084,[[[840 374]]],"(748, 375)"
18.1503538,[[[841 374]]],"(749, 378)"
18.1961602,[[[843 374]]],"(749, 379)"
18.2411589,[[[845 377]]],"(749, 384)"
18.2813869,[[[848 381]]],"(749, 386)"
18.3259113,[[[849 385]]],"(749, 390)"
18.3749704,[[[855 388]]],"(749, 391)"
18.4169709,[[[858 394]]],"(749, 405)"
18.461755,[[[859 400]]],"(749, 408)"
18.5094493,[[[858 410]]],"(750, 413)"
18.552575,[[[855 423]]],"(750, 420)"
18.5962984,[[[852 435]]],"(749, 426)"
18.6413448,[[[849 441]]],"(747, 432)"
18.6847261,[[[848 446]]],"(744, 439)"
18.7362169,[[[843 457]]],"(740, 447)"
18.7871906,[[[833 472]]],"(721, 472)"
18.8354215,[[[822 486]]],"(718, 477)"
18.8770536,[[[806 499]]],"(712, 483)"
18.9218287,[[[787 511]]],"(704, 493)"
18.9623735,[[[775 517]]],"(698, 502)"
19.0086624,[[[768 521]]],"(688, 512)"
19.0528292,[[[767 523]]],"(678, 518)"
19.0954652,[[[772 522]]],"(668, 523)"
19.1412844,[[[782 520]]],"(657, 530)"
19.1860289,[[[790 519]]],"(645, 537)"
19.2289716,[[[799 518]]],"(646, 537)"
19.2742475,[[[805 518]]],"(650, 537)"
19.3179554,[[[808 518]]],"(653, 537)"
19.3614771,[[[805 518]]],"(656, 537)"
